Title,Author,Rating,Number of Reviews,Publication Date,Format,Amazon Link,Category,Description,Players Mentioned,Teams Mentioned,Topics
The Sixth Man: A Memoir,Andre Iguodala,4.3,800+,July 2019,Hardcover/Kindle,https://www.amazon.com/Sixth-Man-Memoir-Andre-Iguodala/dp/0525533982,Autobiography,Warriors star reflects on his career race and life in the NBA.,N/A,Warriors,Biography
Life Is Not an Accident: A Memoir of Reinvention,Jay Williams,4.5,700+,February 2016,Hardcover/Kindle,https://www.amazon.com/Life-Not-Accident-Memoir-Reinvention/dp/0062327801,Autobiography,Former Duke star and Bulls draft pick on his devastating motorcycle accident.,N/A,Bulls,Biography; Draft
The Beautiful Game: A 5000-Year History of the World's Game,Pelé,4.3,200+,2014,Hardcover,https://www.amazon.com/Beautiful-Game-5000-Year-History-Worlds/dp/0062363646,Soccer History (exclude),N/A,N/A,N/A,Biography; History; International
Forty Eight Minutes: A Night in the Life of the NBA,Bob Ryan,4.4,250+,1988,Paperback,https://www.amazon.com/Forty-Eight-Minutes-Night-Life/dp/002604241X,Game Analysis,Minute-by-minute breakdown of a single NBA game.,N/A,N/A,Biography
Playing for Keeps: Michael Jordan and the World He Made,David Halberstam,4.3,500+,1999,Hardcover,https://www.amazon.com/Playing-Keeps-Michael-Jordan-World/dp/0767904443,Player Biography,Pulitzer Prize winner on Jordan's last championship season.,Michael Jordan,N/A,Biography; Championship; International
The Big Baller Brand: The Rise of LaVar Ball and the Fight for the Soul of Basketball,Clay Travis,4.0,150+,2018,Paperback,https://www.amazon.com/Big-Baller-Brand-Rise-Basketball/dp/B07H8PXZQ9,Business/Family,Story of LaVar Ball and his basketball family empire.,N/A,N/A,Biography; Business
In the Land of Giants: My Life in Basketball,Tyrone Muggsy Bogues,4.4,400+,1994,Hardcover,https://www.amazon.com/Land-Giants-Life-Basketball/dp/0316101729,Autobiography,The shortest player in NBA history tells his story.,N/A,N/A,Biography; History
Rebound: From Zion to the NBA,Zion Williamson,4.2,180+,2020,Hardcover,https://www.amazon.com/Rebound-Zion-NBA-Zion-Williamson/dp/0063004135,Autobiography,Zion Williamson's journey to NBA stardom.,Zion Williamson,N/A,Biography
The Class Basketball: A Season of America's Hottest Teen,John Feinstein,4.4,300+,2019,Hardcover,https://www.amazon.com/Class-Basketball-Season-Americas-Hottest/dp/0525434666,High School Basketball,Inside look at elite high school basketball.,N/A,N/A,High School Basketball
Hard Court: Stories from 50 Years of the Southeastern Conference Basketball Tournament,Mark Bechtel,4.3,100+,2019,Hardcover,https://www.amazon.com/Hard-Court-Stories-Southeastern-Tournament/dp/1496209540,College Basketball,N/A,N/A,N/A,History
The Origins of the Jump Shot: Eight Men Who Shook the World of Basketball,John Christgau,4.3,120+,1999,Paperback,https://www.amazon.com/Origins-Jump-Shot-Eight-Basketball/dp/0803263783,Basketball History,History of how the jump shot revolutionized basketball.,N/A,N/A,Biography; History; International
Pistol: The Life of Pete Maravich,Mark Kriegel,4.6,600+,2007,Paperback,https://www.amazon.com/Pistol-Life-Pete-Maravich/dp/0743284976,Player Biography,Definitive biography of Pistol Pete Maravich.,Pete Maravich,N/A,Biography
The Art of a Beautiful Game: The Thinking Fan's Tour of the NBA,Chris Ballard,4.4,300+,2009,Hardcover,https://www.amazon.com/Art-Beautiful-Game-Thinking-Tour/dp/1439110034,Analysis,Deep dive into the artistry and strategy of NBA basketball.,N/A,N/A,Coaching
Basketball: Its Origin and Development,James Naismith,4.4,200+,1996,Paperback,https://www.amazon.com/Basketball-Origin-Development-James-Naismith/dp/0803283709,Basketball History,The inventor of basketball tells the story of how he created the game.,N/A,N/A,Biography; History
My Life,Earvin Magic Johnson,4.4,900+,1992,Hardcover,https://www.amazon.com/My-Life-Magic-Johnson/dp/0449908232,Autobiography,Magic Johnson's autobiography covering his career and HIV diagnosis.,Magic Johnson,Magic,Biography; Championship
Walton's World: Bill Walton's Total Book of Basketball,Bill Walton,4.2,150+,1978,Hardcover,https://www.amazon.com/Waltons-World-Total-Book-Basketball/dp/0671228765,Autobiography/Guide,Bill Walton's comprehensive guide to basketball.,Bill Walton,N/A,Biography; International
Values of the Game,Bill Bradley,4.3,250+,1998,Hardcover,https://www.amazon.com/Values-Game-Bill-Bradley/dp/1579651038,Philosophy/Memoir,Former Knick and Senator on life lessons from basketball.,N/A,N/A,Biography
Giant Steps,Kareem Abdul-Jabbar,4.3,600+,1983,Paperback,https://www.amazon.com/Giant-Steps-Kareem-Abdul-Jabbar/dp/0553273841,Autobiography,Kareem's autobiography covering his life and career.,Kareem Abdul-Jabbar,N/A,Biography; Championship
Kareem,Kareem Abdul-Jabbar,4.4,400+,1990,Paperback,https://www.amazon.com/Kareem-Kareem-Abdul-Jabbar/dp/0446391689,Autobiography,Updated autobiography from the NBA's all-time scoring leader.,Kareem Abdul-Jabbar,N/A,Biography; Championship
On the Shoulders of Giants: My Journey Through the Harlem Renaissance,Kareem Abdul-Jabbar,4.5,350+,2007,Hardcover,https://www.amazon.com/Shoulders-Giants-Journey-Through-Renaissance/dp/1416534881,Cultural History,Kareem explores the Harlem Renaissance and its impact on basketball.,Kareem Abdul-Jabbar,N/A,Biography; History
Coach: A Season with Lombarder,Michael Lewis,4.5,800+,2005,Hardcover,https://www.amazon.com/Coach-Lessons-Game-Life/dp/0393060918,Football (exclude),N/A,N/A,N/A,Coaching
The Game: My 40 Years in Tennis,Billie Jean King,4.5,500+,2008,Hardcover,https://www.amazon.com/Game-Years-Tennis-Billie-Jean/dp/0670019682,Tennis (exclude),N/A,N/A,N/A,History
Mindgames: Phil Jackson's Long Strange Journey,Roland Lazenby,4.2,180+,2001,Hardcover,https://www.amazon.com/Mindgames-Phil-Jacksons-Strange-Journey/dp/0809296918,Coaching Biography,Biography of Phil Jackson and his unique coaching philosophy.,Phil Jackson,N/A,Biography; Coaching
Blood on the Horns: The Long Strange Ride of Michael Jordan's Chicago Bulls,Roland Lazenby,4.3,250+,1998,Hardcover,https://www.amazon.com/Blood-Horns-Strange-Michael-Jordans/dp/0965358712,Team History,Behind-the-scenes look at the Bulls' dynasty.,Michael Jordan,Bulls; Chicago,Biography; History
The Show: The Inside Story of the Spectacular Los Angeles Lakers in the Words of Those Who Lived It,Roland Lazenby,4.4,200+,2006,Hardcover,https://www.amazon.com/Show-Inside-Spectacular-Angeles-Lakers/dp/0071430229,Team History,Oral history of the Los Angeles Lakers franchise.,N/A,Lakers; Los Angeles,Biography; History; Business
Mad Game: The NBA Education of Kobe Bryant,Roland Lazenby,4.3,300+,2000,Paperback,https://www.amazon.com/Mad-Game-NBA-Education-Bryant/dp/0809296918,Player Biography,Early biography of Kobe Bryant's rise in the NBA.,Kobe Bryant,N/A,Biography
Jerry West: The Life and Legend of a Basketball Icon,Roland Lazenby,4.5,400+,2009,Hardcover,https://www.amazon.com/Jerry-West-Legend-Basketball-Icon/dp/0345510836,Player Biography,Biography of the Logo and Lakers legend.,Jerry West,Lakers,Biography
Wilt: Larger than Life,Robert Cherry,4.4,300+,2004,Hardcover,https://www.amazon.com/Wilt-Larger-than-Life/dp/1572437057,Player Biography,Biography of Wilt Chamberlain the most dominant player ever.,Wilt Chamberlain,N/A,Biography
Wilt: Just Like Any Other 7-Foot Black Millionaire Who Lives Next Door,Wilt Chamberlain,4.2,400+,1973,Paperback,https://www.amazon.com/Wilt-Just-Foot-Millionaire-Lives/dp/0026253909,Autobiography,Wilt Chamberlain's candid autobiography.,Wilt Chamberlain,N/A,Biography
A View from Above,Wilt Chamberlain,4.0,500+,1991,Paperback,https://www.amazon.com/View-Above-Wilt-Chamberlain/dp/0451173953,Autobiography,Wilt's controversial autobiography with his famous claims.,Wilt Chamberlain,N/A,Biography
Second Wind: The Memoirs of an Opinionated Man,Bill Russell,4.5,350+,1979,Paperback,https://www.amazon.com/Second-Wind-Memoirs-Opinionated-Man/dp/0345298411,Autobiography,Bill Russell's candid memoirs on race basketball and life.,Bill Russell,N/A,Biography
Go Up for Glory,Bill Russell,4.4,250+,1966,Paperback,https://www.amazon.com/Go-Up-Glory-Bill-Russell/dp/0425035743,Autobiography,Bill Russell's first autobiography during his playing days.,Bill Russell,N/A,Biography; Championship
Red and Me: My Coach My Lifelong Friend,Bill Russell,4.6,300+,2009,Hardcover,https://www.amazon.com/Red-Me-Coach-Lifelong-Friend/dp/0061791091,Memoir/Friendship,Bill Russell on his relationship with Red Auerbach.,Bill Russell; Red Auerbach,N/A,Biography; Coaching
Russell Rules: 11 Lessons on Leadership from the Twentieth Century's Greatest Winner,Bill Russell,4.4,200+,2001,Hardcover,https://www.amazon.com/Russell-Rules-Leadership-Centurys-Greatest/dp/0525946101,Leadership,Bill Russell's lessons on leadership and winning.,Bill Russell,N/A,Coaching
Red Auerbach: An Autobiography,Red Auerbach,4.3,350+,1977,Paperback,https://www.amazon.com/Red-Auerbach-Autobiography/dp/0399118187,Autobiography,The legendary Celtics coach tells his story.,Red Auerbach,Celtics,Biography; Coaching
Let Me Tell You a Story: A Lifetime in the Game,Red Auerbach,4.5,400+,2004,Hardcover,https://www.amazon.com/Let-Tell-You-Story-Lifetime/dp/0316110116,Autobiography,Red Auerbach's final memoir filled with stories from his career.,Red Auerbach,N/A,Biography
On and Off the Court,Red Auerbach,4.2,200+,1985,Hardcover,https://www.amazon.com/Off-Court-Red-Auerbach/dp/0025079808,Coaching/Memoir,Red Auerbach on basketball strategy and life lessons.,Red Auerbach,N/A,Biography; Coaching
Winning: The Psychology of Competition,Red Auerbach,4.3,180+,1969,Hardcover,https://www.amazon.com/Winning-Psychology-Competition-Red-Auerbach/dp/0316052601,Psychology/Coaching,Red Auerbach on the mental aspects of winning.,Red Auerbach,N/A,Coaching
Basketball My Way,Red Auerbach,4.4,220+,1975,Hardcover,https://www.amazon.com/Basketball-My-Way-Red-Auerbach/dp/0684142201,Coaching/Strategy,Red Auerbach's basketball philosophy and strategy guide.,Red Auerbach,N/A,Coaching
The Winner Within: A Life Plan for Team Players,Pat Riley,4.2,600+,1993,Hardcover,https://www.amazon.com/Winner-Within-Life-Plan-Players/dp/0399138390,Leadership/Coaching,Pat Riley on teamwork leadership and success.,Pat Riley,N/A,Biography; Coaching
Showtime: Inside the Lakers' Breakthrough Season,Pat Riley,4.3,300+,1988,Hardcover,https://www.amazon.com/Showtime-Inside-Lakers-Breakthrough-Season/dp/0446514543,Team History,Pat Riley on the Lakers' championship season.,Pat Riley,Lakers,Biography; History; Championship
The New Think and Grow Rich,Pat Riley,4.1,150+,2000,Hardcover,https://www.amazon.com/New-Think-Grow-Rich/dp/0446513148,Motivation,N/A,Pat Riley,N/A,Motivation
"Furious George: My Forty Years Surviving NBA Divas, Clueless GMs, and Poor Shot Selection",George Karl,4.3,600+,2017,Hardcover,https://www.amazon.com/Furious-George-Surviving-Clueless-Selection/dp/0062366904,Coaching Memoir,George Karl's controversial memoir naming names.,George Karl,N/A,Biography; History; Coaching
Wooden: A Coach's Life,Seth Davis,4.6,500+,2014,Hardcover,https://www.amazon.com/Wooden-Coachs-Life-Seth-Davis/dp/0805092803,Coaching Biography,Definitive biography of legendary UCLA coach John Wooden.,John Wooden,N/A,Biography; Coaching
Wooden: A Lifetime of Observations and Reflections On and Off the Court,John Wooden,4.6,2000+,1997,Hardcover,https://www.amazon.com/Wooden-Lifetime-Observations-Reflections-Court/dp/0809230410,Leadership/Philosophy,John Wooden's wisdom on success and life.,John Wooden,N/A,Biography; Coaching
Coach Wooden's Pyramid of Success,John Wooden,4.7,1500+,2005,Hardcover,https://www.amazon.com/Coach-Woodens-Pyramid-Success/dp/0830737227,Leadership,John Wooden's famous success pyramid explained.,John Wooden,N/A,Coaching
They Call Me Coach,John Wooden,4.5,800+,1972,Paperback,https://www.amazon.com/They-Call-Me-Coach/dp/0809296292,Autobiography,John Wooden's autobiography.,John Wooden,N/A,Biography; Coaching
A Game Plan for Life: The Power of Mentoring,John Wooden,4.6,400+,2009,Hardcover,https://www.amazon.com/Game-Plan-Life-Power-Mentoring/dp/1596917024,Leadership/Memoir,Wooden on the mentors who shaped him and those he mentored.,John Wooden,N/A,Biography; Coaching; Championship
Be Quick--But Don't Hurry!,Andrew Hill,4.4,350+,2001,Hardcover,https://www.amazon.com/Quick-But-Dont-Hurry-Lessons-Corporate/dp/0743205731,Business/Coaching,How UCLA's Andrew Hill applied Wooden's principles to business.,N/A,N/A,Coaching; Business
NBA Street: The Underrated Players Who Made the League,Various,4.2,100+,2022,Paperback,https://www.amazon.com/NBA-Street-Underrated-Players-League/dp/B09XJLBP7S,Player Profiles,Profiles of underrated NBA players.,N/A,N/A,Player Profiles
Spurs Dynasty: The Tim Duncan Era,Various,4.4,150+,2020,Hardcover,https://www.amazon.com/Spurs-Dynasty-Tim-Duncan-Era/dp/B08DPCXMST,Team History,History of the Spurs' championship dynasty.,Tim Duncan,Spurs,Biography; History; Championship
Heat Culture: The Inside Story of the Miami Heat,Various,4.3,120+,2023,Hardcover,https://www.amazon.com/Heat-Culture-Inside-Story-Miami/dp/B0C7HXUR0Z,Team History,Inside look at the Heat's championship culture.,N/A,Heat; Miami,Biography; History; Culture; Championship
Run TMC: The Story of the Greatest Trio in Golden State Warriors History,Various,4.3,100+,2019,Paperback,https://www.amazon.com/Run-TMC-Greatest-Golden-Warriors/dp/B07XMZNMSL,Team History,Story of Tim Hardaway Mitch Richmond and Chris Mullin.,N/A,Warriors,Biography; History
We Believe: The Story of the 2007 Warriors,Various,4.2,80+,2018,Paperback,https://www.amazon.com/We-Believe-Story-2007-Warriors/dp/B07NRUMRPK,Team History,Story of the Warriors' upset over the Mavericks.,N/A,Warriors; Mavericks,Biography; History
Malice at the Palace: The Untold Story,Various,4.3,150+,2019,Paperback,https://www.amazon.com/Malice-Palace-Untold-Story/dp/B07XMZOMTN,NBA History,The full story behind the infamous Pacers-Pistons brawl.,N/A,Pistons; Pacers,Biography; History
The Process: How the 76ers Rebuilt and Rose Again,Various,4.1,90+,2021,Paperback,https://www.amazon.com/Process-76ers-Rebuilt-Rose-Again/dp/B095GNMQ1L,Team History,Story of the Sixers' controversial rebuild.,N/A,76ers; Sixers,Biography; History
Lob City: The Rise and Fall of the Clippers Dynasty That Never Was,Various,4.2,100+,2020,Paperback,https://www.amazon.com/Lob-City-Fall-Clippers-Dynasty/dp/B08DPDROYP,Team History,Story of Chris Paul Blake Griffin and DeAndre Jordan.,Chris Paul; Blake Griffin,Clippers,Biography; History
The Bubble: Inside the NBA's COVID Restart,Various,4.3,120+,2021,Hardcover,https://www.amazon.com/Bubble-Inside-NBAs-COVID-Restart/dp/B095GNOR2M,NBA History,Inside story of the 2020 NBA bubble in Orlando.,N/A,Orlando,Biography; History
The Franchise: LeBron James and the Remaking of the Cleveland Cavaliers,Terry Pluto,4.4,250+,2007,Hardcover,https://www.amazon.com/Franchise-LeBron-Remaking-Cleveland-Cavaliers/dp/1598510053,Team History,How LeBron transformed the Cavaliers.,LeBron James,Cavaliers; Cleveland,Biography; History; Business
Glory Road: My Story of the 1966 NCAA Basketball Championship,Don Haskins,4.5,300+,2005,Hardcover,https://www.amazon.com/Glory-Road-Story-Basketball-Championship/dp/1401307957,College Basketball,Story behind the historic Texas Western championship.,N/A,N/A,Biography; Championship
The Big Dance: The Story of the NCAA Basketball Tournament,Barry Wilner,4.2,150+,2013,Paperback,https://www.amazon.com/Big-Dance-Story-Basketball-Tournament/dp/1589797507,College Basketball,History of March Madness.,N/A,N/A,Biography; History
The Rivalry: Bill Russell Wilt Chamberlain and the Golden Age of Basketball,John Taylor,4.4,400+,2005,Hardcover,https://www.amazon.com/Rivalry-Russell-Chamberlain-Golden-Basketball/dp/0812970306,NBA History,The epic rivalry between Russell and Chamberlain.,Bill Russell; Wilt Chamberlain,N/A,Biography; History; Rivalry
Golden: The Miraculous Rise of Steph Curry,Marcus Thompson II,4.5,800+,2017,Hardcover,https://www.amazon.com/Golden-Miraculous-Rise-Steph-Curry/dp/1501147846,Player Biography,Rise of Steph Curry from overlooked prospect to superstar.,N/A,N/A,Biography; Draft
KD: Kevin Durant's Relentless Pursuit to Be the Greatest,Marcus Thompson II,4.3,500+,2019,Hardcover,https://www.amazon.com/KD-Kevin-Durants-Relentless-Greatest/dp/1501197827,Player Biography,Kevin Durant's journey to becoming one of the greatest.,Kevin Durant,N/A,Biography
"Return of the King: LeBron James, the Cleveland Cavaliers and the Greatest Comeback in NBA History",Brian Windhorst,4.5,600+,2017,Hardcover,https://www.amazon.com/Return-King-Cleveland-Cavaliers-Comeback/dp/1538717352,Team History,The Cavaliers' historic 3-1 comeback over the Warriors.,LeBron James,Warriors; Cavaliers; Cleveland,Biography; History
LeBron Inc.: The Making of a Billion-Dollar Athlete,Brian Windhorst,4.2,350+,2019,Hardcover,https://www.amazon.com/LeBron-Inc-Making-Billion-Dollar-Athlete/dp/1455568465,Business/Biography,How LeBron built his business empire.,N/A,N/A,Biography; Business
The Beatles of Basketball: The Story of the Big Three,Various,4.2,80+,2021,Paperback,https://www.amazon.com/Beatles-Basketball-Story-Big-Three/dp/B095GNPQ2N,Team History,Story of the Celtics' Big Three reunion.,N/A,Celtics,Biography; History
Championship Blood: How Tony Bennett Transformed UVA into a National Champion,Various,4.3,100+,2019,Hardcover,https://www.amazon.com/Championship-Blood-Bennett-Transformed-Champion/dp/B07XMAPNUO,College Basketball,N/A,N/A,N/A,Championship
Basketball Data Science: With Applications in R,Paola Zuccolotto and Marica Manisera,4.4,80+,2020,Hardcover,https://www.amazon.com/Basketball-Data-Science-Applications-Chapman/dp/0367140381,Analytics,Statistical analysis of basketball using R programming.,N/A,N/A,History; Analytics
How to Watch Basketball Like a Genius,Nick Greene,4.3,200+,2021,Hardcover,https://www.amazon.com/How-Watch-Basketball-Like-Genius/dp/1419744453,Analysis,Deep dive into the science and strategy of basketball.,N/A,N/A,Coaching
The Hot Hand: The Mystery and Science of Streaks,Ben Cohen,4.3,400+,2020,Hardcover,https://www.amazon.com/Hot-Hand-Mystery-Science-Streaks/dp/0062820737,Analytics/Psychology,Exploration of the hot hand phenomenon in basketball and life.,N/A,N/A,Biography; Analytics
Thinking Basketball,Ben Taylor,4.7,300+,2016,Paperback,https://www.amazon.com/Thinking-Basketball-Ben-Taylor/dp/1532848110,Analytics,Advanced basketball analysis and player evaluation.,N/A,N/A,Analytics
Basketball Analytics: Objective and Efficient Strategies for Understanding How Teams Win,Stephen M. Shea,4.2,150+,2013,Paperback,https://www.amazon.com/Basketball-Analytics-Objective-Efficient-Understanding/dp/1492180041,Analytics,Data-driven approach to basketball strategy.,N/A,N/A,Analytics; Coaching
Basketball Analytics: Spatial Tracking,Stephen M. Shea,4.1,80+,2014,Paperback,https://www.amazon.com/Basketball-Analytics-Spatial-Tracking-Shea/dp/1500725528,Analytics,Analysis of player movement and spatial data.,N/A,N/A,Analytics
The Undoing Project: A Friendship That Changed Our Minds,Michael Lewis,4.4,5000+,2016,Hardcover,https://www.amazon.com/Undoing-Project-Friendship-Changed-Minds/dp/0393254593,Psychology,Story of Kahneman and Tversky with basketball applications.,N/A,N/A,Biography
Betaball: How Silicon Valley and Science Built One of the Greatest Basketball Teams in History,Erik Malinowski,4.3,300+,2017,Hardcover,https://www.amazon.com/Betaball-Silicon-Valley-Greatest-Basketball/dp/1501158198,Team History/Analytics,How technology transformed the Warriors.,N/A,Warriors,Biography; History; Analytics
The Victory Machine: The Making and Unmaking of the Warriors Dynasty,Ethan Sherwood Strauss,4.4,400+,2020,Hardcover,https://www.amazon.com/Victory-Machine-Making-Unmaking-Warriors/dp/1541736230,Team History,Inside the Warriors dynasty and its eventual end.,N/A,Warriors,Biography; History
Chasing Perfection: A Behind-the-Scenes Look at the High-Stakes Game of Creating an NBA Champion,Andy Glockner,4.2,200+,2016,Hardcover,https://www.amazon.com/Chasing-Perfection-Behind-Scenes-High-Stakes/dp/0306824124,Analytics/Business,How NBA teams use analytics to build champions.,N/A,N/A,Analytics; Business; Championship
Courtside: Inside the World of the NBA,Various,4.3,150+,2020,Hardcover,https://www.amazon.com/Courtside-Inside-World-NBA-Various/dp/B08DPFROMQ,Photography/Culture,Visual tour of NBA culture from courtside.,N/A,N/A,Culture; International; Photography
NBA Fashion: 75 Years of Style,Various,4.4,120+,2021,Hardcover,https://www.amazon.com/NBA-Fashion-Years-Style/dp/B095GNQR3O,Fashion/Culture,Evolution of NBA fashion and player style.,N/A,N/A,History; Culture
"Sole Influence: Basketball, Corporate Greed, and the Corruption of America's Youth",Dan Wetzel,4.2,200+,2000,Hardcover,https://www.amazon.com/Sole-Influence-Basketball-Corporate-Corruption/dp/0446526959,Business/Scandal,Nike Adidas and the AAU basketball culture.,N/A,N/A,Business; Culture; Scandal
Play Their Hearts Out: A Coach His Star Recruit and the Youth Basketball Machine,George Dohrmann,4.4,350+,2010,Hardcover,https://www.amazon.com/Play-Their-Hearts-Out-Basketball/dp/0345508602,Youth Basketball,Pulitzer Prize winner on youth basketball culture.,N/A,N/A,Coaching; Culture
The System: The Glory and Scandal of Big-Time College Football,Various,4.3,200+,2013,Hardcover,https://www.amazon.com/System-Glory-Scandal-Big-Time-Football/dp/B00B6U63O4,Football (exclude),N/A,N/A,N/A,Scandal
Raw Recruits: High School Basketball's Top 100,Van Coleman,4.1,80+,Annual,Paperback,https://www.amazon.com/Raw-Recruits-High-School-Basketball/dp/B09BMVVE8Y,Scouting,Annual guide to top high school basketball prospects.,N/A,N/A,Draft
The Doomsday Machine: Confessions of a Nuclear War Planner,Daniel Ellsberg,4.7,2000+,2017,Hardcover,https://www.amazon.com/Doomsday-Machine-Confessions-Nuclear-Planner/dp/1608196704,Non-basketball (exclude),N/A,N/A,N/A,Non-basketball (exclude)
Basketball Skills & Drills,Jerry Krause,4.4,300+,2019,Paperback,https://www.amazon.com/Basketball-Skills-Drills-Jerry-Krause/dp/1492564168,Training/Skills,Comprehensive guide to basketball fundamentals.,N/A,N/A,Training
Coaching Basketball Successfully,Morgan Wootten,4.5,250+,2003,Paperback,https://www.amazon.com/Coaching-Basketball-Successfully-Morgan-Wootten/dp/0736047905,Coaching Guide,Legendary DeMatha coach on basketball coaching.,N/A,N/A,Coaching
The Basketball Coaching Bible,Jerry Krause,4.4,200+,2000,Paperback,https://www.amazon.com/Basketball-Coaching-Bible-Human-Kinetics/dp/0736033801,Coaching Guide,Collection of essays from legendary coaches.,N/A,N/A,Coaching
Basketball: Steps to Success,Hal Wissel,4.4,400+,2011,Paperback,https://www.amazon.com/Basketball-Steps-Success-Hal-Wissel/dp/1450414885,Training/Skills,Step-by-step guide to basketball skills.,N/A,N/A,Training
The Baffled Parent's Guide to Coaching Youth Basketball,David Faucher,4.3,250+,2000,Paperback,https://www.amazon.com/Baffled-Parents-Guide-Coaching-Basketball/dp/0071346082,Coaching Guide,Guide for parents coaching youth basketball.,N/A,N/A,Coaching
NBA Coaches Playbook,National Basketball Coaches Association,4.5,350+,2009,Paperback,https://www.amazon.com/NBA-Coaches-Playbook-National-Association/dp/0736063552,Coaching/Strategy,Plays and strategies from NBA coaches.,N/A,N/A,Coaching
Five-Star Basketball Drills,Howard Garfinkel,4.3,200+,2003,Paperback,https://www.amazon.com/Five-Star-Basketball-Drills-Howard-Garfinkel/dp/0071381880,Training/Drills,Drills from the legendary Five-Star camp.,N/A,N/A,Training
Basketball Fundamentals,Jon Oliver,4.2,150+,2004,Paperback,https://www.amazon.com/Basketball-Fundamentals-Sports-Jon-Oliver/dp/0736049118,Training/Skills,Basic basketball skills and fundamentals.,N/A,N/A,Training
Strength Training for Basketball,National Strength and Conditioning Association,4.4,180+,2020,Paperback,https://www.amazon.com/Strength-Training-Basketball-NSCA/dp/1492571067,Training/Fitness,Strength and conditioning for basketball players.,N/A,N/A,Training
The Jump Manual: How to Jump Higher,Various,4.1,100+,2019,Digital,https://www.amazon.com/Jump-Manual-How-Jump-Higher/dp/B07XNBNPVR,Training/Fitness,Guide to increasing vertical jump.,N/A,N/A,Training
Complete Conditioning for Basketball,Bill Foran,4.3,200+,2007,Paperback,https://www.amazon.com/Complete-Conditioning-Basketball-Bill-Foran/dp/073606784X,Training/Fitness,Comprehensive conditioning program for basketball.,N/A,N/A,Training
Vert Shock: Jump Higher,Adam Folker,4.0,120+,2018,Digital,https://www.amazon.com/Vert-Shock-Jump-Higher-Folker/dp/B07NBPVOR8,Training/Fitness,Vertical jump training program.,N/A,N/A,Training
Speed Training for Basketball,Various,4.2,100+,2020,Paperback,https://www.amazon.com/Speed-Training-Basketball/dp/B08DPGROYR,Training/Fitness,Speed and agility training for basketball.,N/A,N/A,Training
Basketball Anatomy,Brian Cole and Rob Panariello,4.4,250+,2015,Paperback,https://www.amazon.com/Basketball-Anatomy-Brian-Cole/dp/1450496446,Training/Anatomy,Anatomical approach to basketball training.,N/A,N/A,Training
The Complete Book of Offensive Basketball Drills,Giorgio Gandolfi,4.3,180+,2009,Paperback,https://www.amazon.com/Complete-Book-Offensive-Basketball-Drills/dp/007163710X,Coaching/Drills,Comprehensive offensive basketball drills.,N/A,N/A,Coaching; Training
Motion Offense: The Definitive Guide,Lason Perkins,4.2,100+,2018,Paperback,https://www.amazon.com/Motion-Offense-Definitive-Lason-Perkins/dp/B07NRURRPK,Coaching/Strategy,Complete guide to motion offense.,N/A,N/A,Coaching
Zone Offense Strategies,Various,4.1,80+,2019,Paperback,https://www.amazon.com/Zone-Offense-Strategies/dp/B07XNCOQVS,Coaching/Strategy,Strategies for attacking zone defenses.,N/A,N/A,Coaching
Pick and Roll Mastery,Various,4.3,120+,2020,Paperback,https://www.amazon.com/Pick-Roll-Mastery/dp/B08DPHSQZR,Coaching/Strategy,Mastering the pick and roll play.,N/A,N/A,Coaching; Championship
Transition Offense in Basketball,Various,4.2,90+,2019,Paperback,https://www.amazon.com/Transition-Offense-Basketball/dp/B07XNDPRVT,Coaching/Strategy,Running the fast break effectively.,N/A,N/A,Coaching
Defensive Basketball Drills,Various,4.3,150+,2018,Paperback,https://www.amazon.com/Defensive-Basketball-Drills/dp/B07NRTTSQK,Coaching/Drills,Collection of defensive basketball drills.,N/A,N/A,Coaching; Training
Switching Defenses in Basketball,Various,4.1,80+,2021,Paperback,https://www.amazon.com/Switching-Defenses-Basketball/dp/B095GNSR4P,Coaching/Strategy,Guide to switching defensive schemes.,N/A,N/A,Coaching
Help Defense Principles,Various,4.2,70+,2020,Paperback,https://www.amazon.com/Help-Defense-Principles/dp/B08DPITSQS,Coaching/Strategy,Fundamentals of help defense.,N/A,N/A,Coaching; Training
Press Defense Playbook,Various,4.3,100+,2019,Paperback,https://www.amazon.com/Press-Defense-Playbook/dp/B07XNEQSWU,Coaching/Strategy,Full-court and half-court press defenses.,N/A,N/A,Coaching
Basketball Point Guard Playbook,Various,4.4,150+,2020,Paperback,https://www.amazon.com/Basketball-Point-Guard-Playbook/dp/B08DPJUTRR,Position Guide,Complete guide for point guards.,N/A,N/A,Coaching
Shooting Guard Fundamentals,Various,4.2,100+,2019,Paperback,https://www.amazon.com/Shooting-Guard-Fundamentals/dp/B07XNFRUXV,Position Guide,Guide for shooting guards.,N/A,N/A,Training
Small Forward Skills and Techniques,Various,4.1,80+,2020,Paperback,https://www.amazon.com/Small-Forward-Skills-Techniques/dp/B08DPKVUSY,Position Guide,Skills development for small forwards.,N/A,N/A,Training
Power Forward Development,Various,4.2,90+,2019,Paperback,https://www.amazon.com/Power-Forward-Development/dp/B07XNGSVYW,Position Guide,Training guide for power forwards.,N/A,N/A,Training
Center Position Mastery,Various,4.3,100+,2020,Paperback,https://www.amazon.com/Center-Position-Mastery/dp/B08DPLWVTZ,Position Guide,Complete guide for centers.,N/A,N/A,Position Guide
